Dataset_id,policy_content_file_name,groundtruth_owner,Ground Truth Question,Ground Truth Answer,Exact Source Text,Policy Document Title
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,What should I do if my monthly home internet bill exceeds INR 1200?,You may only claim up to INR 1200 under this policy. Any amount above INR 1200 must be processed separately as a Communication Expense through salary rather than as part of the broadband reimbursement.,"Monthly reimbursement limit: INR 1200.
Expenses above INR 1200 must be claimed as part of Communication Expense through salary.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"As a line manager, what do I need to check before approving broadband reimbursement claims?","Line managers should ensure that the employee has charged the expense to the correct case code. If a situation falls outside the standard rules, it requires prior approval from functional leadership before it can be treated as an exception.","Ensure staff charge the expense against the correct case code.
Any exception requires prior approval from the functional leadership.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Is broadband reimbursement available while I am on extended leave?,No. The policy does not cover broadband reimbursement during extended leave.,"Not covered: Broadband reimbursement during extended leave, unpaid leave, or any long-term paid leave beyond 30 days.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Can I claim broadband reimbursement during unpaid leave?,No. Broadband reimbursement is not covered during periods of unpaid leave.,"Not covered: Broadband reimbursement during extended leave, unpaid leave, or any long-term paid leave beyond 30 days.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"Does the policy cover long-term paid leave, and what is the threshold?",No. Broadband reimbursement is not covered during any long-term paid leave that extends beyond 30 days.,"Not covered: Broadband reimbursement during extended leave, unpaid leave, or any long-term paid leave beyond 30 days.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Who can approve exceptions to this broadband reimbursement policy?,"Exceptions can be made only with prior approval from functional leadership. Without such approval, the standard rules apply.",Any exception requires prior approval from the functional leadership.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Who should I contact if I have questions about the policy or need clarification on case codes?,You should reach out to your Local IT team for any questions or clarifications related to broadband reimbursement or coding in Chrome River.,"For any queries or clarifications, staff should contact their Local IT team.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Do I need my line manager’s approval to be eligible for this reimbursement?,Yes. The policy applies only to BST staff who have line manager approval; it is not automatically available without that approval.,Policy is applicable only to BST staff with Line Manager approval.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"If my home internet is in a family member’s name, can I still be reimbursed?",No. The connection must be in the staff member’s own name for the reimbursement to be allowed.,Reimbursement is allowed only if home internet is in the staff member’s name.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Can I keep my BCG-issued MiFi and also claim home broadband reimbursement at the same time?,"No. To avail the broadband reimbursement, any assigned MiFi or data card must first be returned to Local IT.",Any MiFi/Data card assigned must be returned to Local IT before availing this benefit.,Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,What determines which case code I should use in Chrome River?,The case code is determined by your home office. Your claim should be charged against the correct case code corresponding to that home office.,"Use the correct case codes as below (basis your home office), when submitting claims in Chrome River",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"Does the policy operate independently, or does it need to align with broader organizational standards?",It is explicitly subject to line manager approval and to organizational standards. This means compliance with the policy must sit within the broader standards of the organization.,"This policy defines the guidelines for broadband reimbursement for BST staff, subject to line manager approval and organizational standards.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"If my monthly bill is INR 1,500, how should I handle the claim under this policy?","You may claim INR 1,200 under the broadband reimbursement policy, since that is the monthly limit. The remaining INR 300 should be processed as a Communication Expense through salary, consistent with the policy’s direction for expenses above INR 1200.","Monthly reimbursement limit: INR 1200.
Expenses above INR 1200 must be claimed as part of Communication Expense through salary.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"Which platform should I use to submit a broadband claim, and what should my manager verify?",You should submit the claim in Chrome River using the correct home-office-based case code. Your line manager should verify that the expense is correctly coded before approval.,"Use the correct case codes as below (basis your home office), when submitting claims in Chrome River
Ensure staff charge the expense against the correct case code.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,"Are claims permitted during extended or unpaid leave, and how are exceptions handled?","Claims are not covered during extended or unpaid leave. If an exception is sought, it must receive prior approval from the functional leadership before any reimbursement can be considered.","Not covered: Broadband reimbursement during extended leave, unpaid leave, or any long-term paid leave beyond 30 days.
Any exception requires prior approval from the functional leadership.",Broadband Reimbursement Policy for BST Staff
reimbursement_policy_global_2025_gt_v1,Broadband_Reimbursement_Policy_BST.pdf,Pravin Jha,Who should I contact for help if I am unsure whether my circumstances qualify for an exception?,You should contact your Local IT team for clarification. Do note that any exception to the standard rules will still require prior approval from functional leadership.,"Any exception requires prior approval from the functional leadership.
For any queries or clarifications, staff should contact their Local IT team.",Broadband Reimbursement Policy for BST Staff
